mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N17_random_year,17,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.739971557617974,0.8890711398378366,3358.812162739386,3168.7441,0.9434121311626518
N18_random_year,18,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,27.814878783311617,0.8996266866025495,3358.812162739386,3510.3352,1.0451120917149352
N19_random_year,19,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,27.533141710512226,0.9006433684915514,3358.812162739386,3092.543,0.9207251906066036
N20_random_year,20,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,36.83195507770351,0.8670874894384496,3358.812162739386,2817.7893,0.8389243488812685
N21_random_year,21,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,27.934445883135318,0.8991952144370182,3358.812162739386,3256.407,0.9695114893730791
N1_random_year,1,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,31.711060752645356,0.8855668484523267,3358.812162739386,3425.124,1.0197426523083777
N2_random_year,2,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,30.165760103607386,0.8911432504761324,3358.8121627393866,3445.9148,1.0259325701951278
N3_random_year,3,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,29.851434005960723,0.8922775337550161,3358.812162739386,2912.317,0.8670675088171699
N4_random_year,4,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,19.016365163152535,0.931377174242921,3358.8121627393866,3100.4321,0.9230739852917508
N5_random_year,5,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.199682052041297,0.9379328923057596,3358.8121627393866,3159.0095,0.9405138984931934
N6_random_year,6,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,31.098752999160798,0.8877764341390012,3358.812162739386,2727.5342,0.8120532043872833
N7_random_year,7,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.475672722385985,0.9513714249146017,3358.812162739386,3267.474,0.9728064454872217
N8_random_year,8,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,18.34950369108018,0.9337836235411707,3358.8121627393866,3063.5454,0.9120919127724242
N9_random_year,9,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.779356848301127,0.957492783421213,3358.812162739386,3280.329,0.9766336855488588
N10_random_year,10,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,22.137758460394117,0.9201132535873074,3358.812162739386,3000.6294,0.893360286061365
N11_random_year,11,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,28.79307047458661,0.8960967650107274,3358.812162739386,2739.0322,0.8154764523445679
N12_random_year,12,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.595246820636389,0.943722688535407,3358.812162739386,3019.6953,0.8990366731425646
N13_random_year,13,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,18.7479584290992,0.9323457520118554,3358.812162739386,2960.7134,0.8814763182504216
